old,new
"CAPTAIN MARVEL II/MO","Captain Marvel II"
"NEBULA","Nebula"
"ARCLIGHT/PHILLIPA SO","Arclight"
"SCARECROW II","Scarecrow"
"HUMAN TORCH/JOHNNY S","Human Torch"
"BLACK BOLT/BLACKANTO","Bolt"
"WONDER MAN/SIMON WIL","Wonder Man"
"FIRESTAR/ANGELICA JO","Firestar"
"HANCOCK, CALISTA","Hancock"
"BLADE","Blade"
"FIXER II/PAUL NORBER","Fixer"
"POWER MAN/ERIK JOSTE","Power Man"
"BANSHEE/SEAN CASSIDY","Banshee"
"YELLOWJACKET II/RITA","Yellowjacket II"
"SIRYN/THERESA ROURKE","Siryn"
"MAGNETO/MAGNUS/ERIC","Magneto"
"CAPTAIN MARVEL II/MO","Captain Marvel"
"MACHINE MAN/X-51","Machine Man"
"HERCULES [GREEK GOD]","Hercules"
"IRON FIST/DANIEL RAN","Iron Fist"
"DAZZLER II/ALLISON B","Dazzler"
"KINGPIN/WILSON FISK","Kingpin"
"PSIREN","Siren"
"REYNOLDS, KATHERINE","Rey"
"MAGUS","Magus"
"NOVA/RICHARD RIDER","Nova"
"BLACK CAT/FELICIA HA","Black Cat"
"ABRAXAS","Abraxas"
"SHOCKER/HERMAN SCHUL","Shocker"
"MASTER MONARCH/","Monarch"
"ANT-MAN/DR. HENRY J.","Ant-Man"
"SHADOW KING/AMAHL FA","Shadow King"
"TOMAZOOMA","Zoom"
"MOON KNIGHT/MARC SPE","Moon Knight"
"MOONSTONE II/KARLA S","Moonstone"
"PURPLE MAN/ZEBEDIAH","Purple Man"
"CHANGELING","Changeling"
"THUNDRA","Thundra"
"HUSK/PAIGE GUTHRIE","Husk"
"NORTHSTAR/JEAN-PAUL","Northstar"
"BLACK GOLIATH/DR. WI","Goliath"
"BINARY/CAROL DANVERS","Binary"
"CRIMSON DYNAMO III/A","Crimson Dynamo"
"ARIEL II","Ariel"
"LEECH","Leech"
"WARLOCK II/ADAM WARL","Warlock"
"TOAD/MORTIMER TOYNBE","Toad"
"SNOWBIRD/NARYA/ANNE","Snowbird"
"GAMORA","Gamora"
"MISFIT/","Misfit"
"PYRO/ALLERDYCE JOHNN","Pyro"
"RAMBO","Rambo"
"LONGSHOT","Longshot"
"APOCALYPSE/EN SABAH","Apocalypse"
"INDIGO, ODYSSEUS","Indigo"
"BLIZZARD II/DONALD G","Blizzard"
"USAGENT/CAPTAIN JOHN","Sage"
"LUNA/LUNA MAXIMOFF [","Luna"
"MISSING LINK","Ink"
"BOOMERANG/FRED MYERS","Mera"
"NIGHT PHANTOM II","Phantom"
"KRAVEN THE HUNTER/SE","Kraven the Hunter"
"LEGION","Legion"
"FIRELORD/PYREUS KRIL","Firelord"
"BLACK WIDOW/NATASHA","Black Widow"
"PHOENIX III/RACHEL S","Phoenix"
"BEAST/HENRY &HANK& P","Beast"
"ATOM-SMASHER/","Atom"
"FALCON/SAM WILSON","Falcon"
"YRDISIS","Isis"
"SAURON/DR. KARL LYKO","Sauron"
"BEETLE/ABNER RONALD","Beetle"
"MYSTIQUE/RAVEN DARKH","Q"
"DAREDEVIL/MATT MURDO","Daredevil"
"LIZARD/DR. CURTIS CO","Lizard"
"ANT-MAN II/SCOTT HAR","Ant-Man II"
"GALACTUS/GALAN","Galactus"
"NIGHTCRAWLER/KURT WA","Nightcrawler"
"AZRAEL","Azrael"
"X-MAN/NATHAN GREY","X-Man"
"BULLSEYE II/BENJAMIN","Bullseye"
"BANTAM/","Bantam"
"COPYCAT/VANESSA","Copycat"
"BOX IV/MADISON JEFFR","Box IV"
"ELEKTRA/ELEKTRA NATC","Elektra"
"METEORITE","Meteorite"
"JUGGERNAUT/CAIN MARK","Juggernaut"
"ATLAS","Atlas"
"CAPTAIN UNIVERSE/STE","Captain Universe"
"FIN FANG FOOM/MIDGAR","Fin Fang Foom"
"SCARLET WITCH/WANDA","Scarlet Witch"
"HYBRID/JAMES JIMMY M","Hybrid"
"IRON MAN/TONY STARK","Iron Man"
"HELLCAT/PATSY WALKER","Cat"
"AIR-WALKER/GABRIEL L","Air-Walker"
"SPEEDBALL/ROBBIE BAL","Speedball"
"ICEMAN/ROBERT BOBBY","Iceman"
"VEGA, ROBIN","Robin"
"PENANCE/MONET ST. CR","Penance"
"NAMORITA/NITA PRENTI","Namorita"
"ABOMINATION/EMIL BLO","Abomination"
"ARON [WATCHER]","Watcher"
"LANDERS, RAY","Ray"
"PUNISHER II/FRANK CA","Punisher"
"CURSED LOTUS","Curse"
"BIG MAN/FREDERICK FO","Big Man"
"IRON MAN ARMOR","Armor"
"RHINO","Rhino"
"WOLVERINE/LOGAN","Wolverine"
"SHADOWCAT/KATHERINE","Shadowcat"
"FIREBIRD/BONITA JUAR","Firebird"
"OMEGA RED/ARKADY ROS","Omega Red"
"OZYMANDIAS","Ozymandias"
"DARKSTAR/LAYNIA SERG","Darkstar"
"CYBORG X/","Cyborg"
"WARPY","Warp"
"VULCAN/","Vulcan"
"HELA [ASGARDIAN]","Hela"
"OVERRIDE/DR. GREGORY","Ego"
"CARDINALE, CARLOS","Ardina"
"EXODUS/BENNET DUPARI","Exodus"
"DEMOGOBLIN","Demogoblin"
"WALRUS","Walrus"
"BATTLESTAR/LEMAR HOS","Battlestar"
"ARSENAL","Arsenal"
"BLINK/FERGUSON, CLAR","Blink"
"GHOST RIDER III/DAN","Ghost Rider"
"WOLF SPIRIT/OWAYODAT","Yoda"
"VIXEN","Vixen"
"HOBGOBLIN III/LEFTY","Hobgoblin"
"DESTROYER III","Destroyer"
"GENESIS/TYLER DAYSPR","Genesis"
"KLAW/ULYSSES KLAW","Klaw"
"DIAMONDBACK II/RACHE","Diamondback"
"RED GUARDIAN III/DR.","Guardian"
"HAWK","Hawk"
"OWAYODATA","Data"
"CHEETAH","Cheetah"
"BLACK PANTHER/T'CHAL","Black Panther"
"HOWARD THE DUCK","Howard the Duck"
"UTGARD-LOKI","Utgard-Loki"
"TIGER SHARK/TODD ARL","Tiger Shark"
"CRIMSON CRUSADER/ROR","Crimson Crusader"
"LIVING TRIBUNAL","Living Tribunal"
"HELLSPAWN","Spawn"
"DOOMSDAY MAN","Doomsday"
"SILVER DAGGER/ISAIAH","Dagger"
"BLIZZARD II/DONALD G","Blizzard II"
"TITANIUM MAN/BORIS B","Titan"
"BLACK MAMBA/TANYA SE","Black Mamba"
"THANOS","Thanos"
"BLACKWULF","Blackwulf"
"GLADIATOR II","Gladiator"
"GOG III","Gog"
"YIN, ANGELA","Angela"
"HELLSTORM/DAIMON HEL","Hellstorm"
"SABRETOOTH/VICTOR CR","Sabretooth"
"FORGE","Forge"
"ANNIHILUS","Annihilus"
"PSYLOCKE/ELISABETH B","Psylocke"
"ELECTRO/MAX DILLON","Electro"
"BLACK BOLT/BLACKANTO","Black Bolt"
"THUNDERBIRD III/NEAL","Thunderbird III"
"THANOS DOPPELGANGER","Doppelganger"
"WOLFSBANE/RAHNE SINC","Bane"
"MOLTEN MAN/MARK RAXT","Molten Man"
"ROCKET RACCOON","Rocket Raccoon"
"MIMIC/CALVIN RANKIN","Mimic"
"TINKERER","Tinkerer"
"VINDICATOR II DOPPEL","Vindicator"
"VISION","Vision"
"WIZ KID/TAKESHI MATS","Wiz Kid"
"DOMINO III/BEATRICE/","Domino"
"WHITE QUEEN/EMMA FRO","White Queen"
"BISHOP /","Bishop"
"LADY DEATHSTRIKE/YUR","Lady Deathstrike"
"JUBILEE/JUBILATION L","Jubilee"
"DEADPOOL/JACK/WADE W","Deadpool"
"ORACLE/LADY SIBYL","Oracle"
"SPIDER-WOMAN II/JULI","Spider-Woman"
"GAMBIT/REMY LEBEAU","Gambit"
"BLACKWING/JOSEPH MAN","Blackwing"
"HULK/DR. ROBERT BRUC","Hulk"
"CANNONBALL II/SAM GU","Cannonball"
"CARNAGE/CLETUS KASAD","Carnage"
"SNAKE-EYES","Snake-Eyes"
"GREEN GOBLIN III/BAR","Green Goblin III"
"MANTIS/? BRANDT","Mantis"
"CRYSTAL [INHUMAN]","Crystal"
"SUB-MARINER/NAMOR MA","Namor"
"PENANCE III","Penance I"
"TRITON","Triton"
"VERTIGO II","Vertigo II"
"FIRESTAR/ANGELICA JO","Angel"
"YMIR","Ymir"
"YELLOW CLAW/TZING JA","Yellow Claw"
"CALLISTO","Callisto"
"MOCKINGBIRD/DR. BARB","Mockingbird"
"RED RONIN","Ronin"
"DEMOGOBLIN","Mogo"
"SPIDER-MAN/PETER PAR","Spider-Man"
"SCORPION/MACDONALD G","Scorpion"
"BROTHER VOODOO/DANIE","Brother Voodoo"
"VENOM/EDDIE BROCK","Venom"
"ARES [GREEK GOD]","Ares"
"SYNCH/EVERETT THOMAS","Synch"
"MYSTERIO/QUENTIN BEC","Mysterio"
"MAVERICK/CHRISTOPHER","Maverick"
"AURORA/JEANNE-MARIE","Aurora"
"BOOMERANG/FRED MYERS","Boomer"
"RAVEN, SABBATH II/EL","Raven"
"CYPHER/DOUG RAMSEY","Cypher"
"WOLFSBANE/RAHNE SINC","Wolfsbane"
"OSIRIS","Osiris"
"LYJA LAZERFIST [SKRU","Lyja"
"ABSORBING MAN/CARL C","Absorbing Man"
"HYPERION","Hyperion"
"HELLCAT/PATSY WALKER","Hellcat"
"KANGAROO II/","Kang"
"DORMAMMU","Dormammu"
"TASKMASTER","Taskmaster"
"CORSAIR","Corsair"
"DEATHLOK III/MICHAEL","Deathlok"
"LEADER/SAM STERNS","Leader"
"AZAZEL","Azazel"
"FLASH/BARRY ALLEN/BU","Flash"
